,0,1,2,3,4
e7119715,1.0,0.0,1.0,0.0,0.0
e6420307,0.0,0.0,1.0,0.0,0.0
e6975253,0.0,1.0,1.0,0.0,0.0
e7447309,0.0,1.0,1.0,1.0,1.0
e6493283,1.0,0.0,0.0,0.0,0.0
e6714095,0.0,0.0,0.0,0.0,1.0
e7279241,1.0,0.0,0.0,1.0,0.0
e7585007,0.0,1.0,1.0,1.0,1.0
e6951301,1.0,0.0,0.0,0.0,0.0
e7425419,0.0,1.0,0.0,1.0,0.0
e7617219,1.0,1.0,1.0,1.0,1.0
e7339237,1.0,1.0,0.0,1.0,0.0
e6725097,0.0,1.0,0.0,0.0,0.0
e85336,0.0,0.0,0.0,0.0,1.0
e7451543,0.0,1.0,0.0,1.0,0.0
e33908,0.0,1.0,0.0,0.0,1.0
e7613673,1.0,0.0,0.0,0.0,0.0
e7492219,0.0,0.0,1.0,1.0,1.0
e7523141,1.0,1.0,0.0,0.0,0.0
e6978409,0.0,1.0,0.0,0.0,1.0
e7259927,1.0,0.0,0.0,0.0,1.0
e7603401,0.0,1.0,1.0,1.0,1.0
e6838469,1.0,0.0,0.0,0.0,0.0
e7553287,1.0,1.0,1.0,0.0,1.0
e7600215,1.0,1.0,1.0,1.0,1.0
e14746,1.0,0.0,1.0,1.0,0.0
e7338135,1.0,0.0,1.0,0.0,1.0
e7473757,0.0,0.0,0.0,1.0,0.0
e7502635,1.0,0.0,0.0,0.0,0.0
e22174,1.0,0.0,0.0,1.0,0.0
e7627693,1.0,1.0,1.0,1.0,1.0
e7626221,1.0,0.0,0.0,0.0,1.0
e9934,1.0,0.0,0.0,0.0,0.0
e9936,0.0,0.0,0.0,0.0,1.0
e6452815,1.0,0.0,0.0,0.0,0.0
e7632413,0.0,1.0,0.0,1.0,0.0
e6823999,0.0,1.0,0.0,0.0,0.0
e6830225,1.0,0.0,0.0,0.0,0.0
e7539859,0.0,0.0,1.0,0.0,1.0
e6278747,1.0,0.0,0.0,0.0,0.0
e7483349,0.0,0.0,1.0,0.0,1.0
e7495889,1.0,0.0,0.0,0.0,0.0
e6784155,0.0,1.0,0.0,1.0,0.0
e7609325,1.0,1.0,0.0,1.0,0.0
e6829711,0.0,0.0,0.0,1.0,0.0
e7429651,0.0,1.0,0.0,1.0,0.0
e6634135,0.0,1.0,0.0,0.0,0.0
e41042,0.0,1.0,0.0,0.0,0.0
e6968713,0.0,0.0,1.0,0.0,1.0
e7630699,0.0,1.0,0.0,1.0,0.0
e7605927,1.0,1.0,1.0,1.0,1.0
e6800701,0.0,0.0,1.0,0.0,1.0
e6193788,0.0,0.0,1.0,0.0,0.0
e6523353,0.0,0.0,0.0,0.0,1.0
e7307935,0.0,0.0,1.0,0.0,1.0
e6946043,0.0,0.0,1.0,0.0,1.0
e7286987,0.0,0.0,1.0,0.0,1.0
e7571837,1.0,0.0,1.0,0.0,1.0
e7609449,1.0,1.0,1.0,1.0,1.0
e7223983,1.0,0.0,0.0,0.0,0.0
e6596435,1.0,0.0,1.0,0.0,1.0
e7605719,1.0,1.0,1.0,0.0,1.0
e7175665,0.0,0.0,1.0,0.0,1.0
e7584361,0.0,1.0,0.0,1.0,0.0
e7622673,1.0,0.0,1.0,0.0,1.0
e40852,1.0,0.0,0.0,0.0,1.0
e6772223,1.0,0.0,0.0,0.0,0.0
e6938081,0.0,0.0,1.0,0.0,0.0
e7614333,0.0,1.0,0.0,0.0,0.0
e7039913,0.0,1.0,0.0,0.0,0.0
e7523547,0.0,1.0,0.0,1.0,0.0
e7614145,1.0,1.0,0.0,0.0,0.0
e7614147,1.0,0.0,0.0,0.0,0.0
e7604175,1.0,0.0,1.0,1.0,1.0
e6414883,0.0,0.0,0.0,1.0,0.0
e21148,1.0,0.0,0.0,0.0,0.0
e6996617,0.0,1.0,1.0,0.0,0.0
e7480337,0.0,0.0,1.0,0.0,0.0
e7504399,0.0,1.0,0.0,1.0,0.0
e6827673,1.0,0.0,0.0,0.0,0.0
e113490,0.0,1.0,1.0,1.0,1.0
e6702635,0.0,0.0,1.0,0.0,0.0
e7607305,0.0,1.0,0.0,1.0,1.0
e7617145,1.0,1.0,1.0,1.0,1.0
e7525869,1.0,1.0,1.0,1.0,1.0
e7152713,1.0,1.0,0.0,0.0,0.0
e7314929,1.0,0.0,1.0,0.0,0.0
e7342911,0.0,0.0,1.0,0.0,1.0
e6829271,0.0,0.0,1.0,0.0,0.0
e7611579,0.0,0.0,0.0,1.0,0.0
e7484797,1.0,0.0,0.0,0.0,0.0
e7592907,1.0,1.0,0.0,1.0,0.0
e6795723,0.0,1.0,0.0,0.0,0.0
e6814613,0.0,0.0,0.0,1.0,0.0
e7301503,0.0,1.0,0.0,1.0,0.0
e6126558,0.0,0.0,1.0,0.0,0.0
e6516305,0.0,0.0,0.0,0.0,1.0
e7507859,1.0,1.0,0.0,1.0,0.0
e7487849,1.0,1.0,0.0,1.0,1.0
e6800311,0.0,0.0,0.0,0.0,1.0
e6854475,0.0,0.0,1.0,0.0,0.0
e7532789,0.0,0.0,1.0,0.0,1.0
e7491585,1.0,0.0,0.0,0.0,0.0
