,0,1,2
e5571890,0.0,1.0,1.0
e5138534,1.0,0.0,0.0
e5251276,0.0,0.0,1.0
e5604528,1.0,1.0,1.0
e5546190,0.0,1.0,0.0
e5546082,0.0,1.0,0.0
e213962,0.0,0.0,0.0
e5574554,1.0,0.0,1.0
e5540052,0.0,1.0,0.0
e5603490,1.0,1.0,1.0
e5471180,1.0,0.0,1.0
e193824,0.0,0.0,0.0
e5119608,0.0,1.0,1.0
e4811884,1.0,0.0,0.0
e5344498,0.0,0.0,1.0
e5515688,1.0,1.0,1.0
e272750,1.0,0.0,0.0
e5296636,1.0,1.0,1.0
e5602344,1.0,1.0,1.0
e5572318,1.0,0.0,1.0
e4869950,1.0,0.0,0.0
e5134208,0.0,1.0,0.0
e244714,0.0,1.0,0.0
e250712,0.0,0.0,0.0
e5548918,1.0,1.0,0.0
e5217450,0.0,1.0,0.0
e5591948,1.0,1.0,0.0
e5578170,1.0,0.0,1.0
e5587660,1.0,1.0,1.0
e5573666,1.0,1.0,0.0
e5608090,1.0,1.0,1.0
e5575336,1.0,0.0,1.0
e5590012,0.0,1.0,0.0
e5224400,0.0,1.0,1.0
e5607956,1.0,1.0,1.0
e5589288,0.0,1.0,0.0
e5479748,1.0,1.0,0.0
e5538914,0.0,0.0,1.0
e5583884,1.0,0.0,1.0
e5547198,0.0,1.0,0.0
e5212368,1.0,1.0,0.0
e5590268,0.0,0.0,1.0
e5607710,0.0,1.0,1.0
e4842422,1.0,0.0,0.0
e5262208,1.0,0.0,0.0
e5576042,1.0,1.0,1.0
e5527192,0.0,1.0,1.0
e5281918,0.0,1.0,0.0
e5589926,0.0,0.0,1.0
e5249802,0.0,0.0,1.0
e5510380,1.0,1.0,1.0
e224722,0.0,0.0,0.0
e5554022,1.0,1.0,1.0
e5558830,1.0,1.0,1.0
e5538312,1.0,1.0,0.0
e5574580,0.0,1.0,1.0
e5417344,1.0,0.0,1.0
e5208802,1.0,0.0,0.0
e5238716,0.0,0.0,1.0
e5253646,0.0,0.0,1.0
e5450214,1.0,1.0,1.0
e5358804,1.0,0.0,1.0
e5216000,0.0,1.0,0.0
e5600952,1.0,0.0,1.0
e5604446,1.0,1.0,1.0
e5289032,0.0,1.0,0.0
e5506328,1.0,0.0,1.0
e5514796,1.0,0.0,1.0
e5524464,1.0,1.0,1.0
e5210562,0.0,1.0,0.0
e5423168,1.0,0.0,1.0
e5592106,1.0,1.0,1.0
e5196620,0.0,1.0,0.0
e5394674,1.0,0.0,1.0
e243264,1.0,0.0,0.0
e5552936,1.0,0.0,1.0
e5288846,0.0,0.0,1.0
e203714,1.0,0.0,0.0
e5224508,0.0,1.0,0.0
e4786600,0.0,0.0,1.0
e272984,1.0,0.0,0.0
e5545838,0.0,1.0,0.0
e5545130,0.0,1.0,0.0
e5170132,0.0,1.0,0.0
e4924108,1.0,0.0,0.0
e5054966,1.0,0.0,0.0
e5197644,0.0,0.0,1.0
e5503306,1.0,1.0,1.0
e5592090,1.0,1.0,1.0
e5600078,1.0,0.0,1.0
e5593820,0.0,0.0,1.0
e264944,0.0,0.0,1.0
e5540458,0.0,1.0,0.0
e5548646,0.0,1.0,1.0
e5249110,0.0,1.0,0.0
e214858,1.0,0.0,0.0
e5601888,0.0,1.0,1.0
e5420562,0.0,1.0,1.0
e5120630,1.0,0.0,0.0
e5220558,1.0,1.0,1.0
e5176890,1.0,0.0,0.0
e5588838,1.0,1.0,1.0
e5431100,1.0,1.0,0.0
e5215458,0.0,1.0,0.0
e5412674,1.0,0.0,1.0
e5602708,1.0,1.0,1.0
e5525744,1.0,1.0,1.0
e5607740,0.0,1.0,1.0
e5500622,0.0,1.0,1.0
e5606652,1.0,0.0,0.0
e5536226,1.0,0.0,0.0
e5577182,0.0,1.0,1.0
e257120,0.0,0.0,0.0
e5588012,1.0,1.0,1.0
e5606374,0.0,1.0,0.0
e5605238,1.0,1.0,1.0
e5545734,0.0,1.0,0.0
e5218672,1.0,0.0,0.0
e5394820,0.0,0.0,1.0
e5090084,1.0,0.0,0.0
e5547038,0.0,1.0,0.0
e4699718,0.0,0.0,0.0
e5283082,0.0,1.0,0.0
e5584226,1.0,1.0,1.0
e5600226,0.0,1.0,1.0
e5598516,1.0,1.0,1.0
e5605994,1.0,1.0,1.0
e5235912,0.0,0.0,1.0
e5390552,0.0,0.0,1.0
e5217382,0.0,0.0,1.0
e5218180,1.0,0.0,0.0
e5593000,1.0,0.0,0.0
e5607430,1.0,1.0,1.0
e224254,0.0,1.0,0.0
e5513740,1.0,0.0,1.0
e5604534,1.0,1.0,1.0
e5503124,0.0,1.0,1.0
e5215726,1.0,1.0,1.0
e5180854,1.0,1.0,1.0
e5607802,1.0,1.0,1.0
e230756,1.0,0.0,1.0
e5590820,0.0,0.0,1.0
e5595292,1.0,0.0,0.0
e5412682,1.0,0.0,1.0
e5586548,0.0,1.0,1.0
e5590962,0.0,1.0,0.0
e5601100,1.0,0.0,1.0
e5584102,1.0,1.0,1.0
e5240282,0.0,1.0,0.0
e5583108,1.0,0.0,1.0
e5585278,1.0,1.0,0.0
e4843088,1.0,0.0,0.0
e5229138,0.0,1.0,0.0
e5581970,1.0,0.0,1.0
e5602528,1.0,1.0,1.0
e5387870,0.0,1.0,0.0
e5537874,1.0,0.0,1.0
e5604856,1.0,1.0,1.0
e5608060,1.0,1.0,1.0
e5532928,1.0,1.0,0.0
e5096834,0.0,1.0,0.0
e5548152,0.0,1.0,0.0
e215678,1.0,0.0,0.0
e215680,0.0,0.0,1.0
e223632,1.0,0.0,0.0
e5518222,1.0,1.0,1.0
e5530462,1.0,0.0,1.0
e255440,0.0,0.0,1.0
e5160638,1.0,0.0,0.0
e5599390,1.0,1.0,1.0
e4784612,0.0,0.0,0.0
e5344984,0.0,1.0,0.0
e5587400,1.0,1.0,1.0
e5197844,0.0,0.0,1.0
e5535572,1.0,0.0,1.0
e5601540,0.0,1.0,1.0
e318772,0.0,1.0,1.0
e5214672,0.0,0.0,1.0
e5589828,0.0,1.0,0.0
e5507716,1.0,1.0,1.0
e5555826,1.0,0.0,1.0
e4942862,1.0,0.0,0.0
e5607874,1.0,1.0,1.0
e5126824,1.0,0.0,0.0
e5143342,1.0,0.0,0.0
e5543050,0.0,1.0,0.0
e5442114,0.0,1.0,1.0
e5213712,1.0,1.0,0.0
e5544836,1.0,0.0,0.0
e5548096,1.0,0.0,0.0
e5184816,1.0,0.0,0.0
e5533322,0.0,1.0,0.0
e5602000,1.0,0.0,1.0
e5606070,1.0,0.0,0.0
e5219990,0.0,1.0,0.0
e5510132,1.0,1.0,0.0
e326430,0.0,0.0,0.0
e5422988,1.0,0.0,1.0
e5594340,0.0,1.0,0.0
e5581776,1.0,1.0,1.0
e5593872,0.0,0.0,1.0
e5192136,1.0,0.0,1.0
e5222072,1.0,0.0,0.0
e5604076,0.0,1.0,1.0
e5577942,1.0,1.0,1.0
e5375242,1.0,0.0,1.0
e5591328,0.0,1.0,1.0
e5546252,1.0,0.0,1.0
e5549480,0.0,1.0,0.0
e329092,0.0,1.0,0.0
e5287862,1.0,1.0,1.0
e5545592,0.0,1.0,0.0
e5558590,1.0,1.0,0.0
e292216,1.0,1.0,0.0
e5376004,1.0,0.0,1.0
e5226768,0.0,0.0,1.0
e5591668,1.0,0.0,0.0
e5460092,0.0,0.0,1.0
e5211596,1.0,0.0,0.0
e5213244,0.0,0.0,1.0
e5220378,0.0,0.0,1.0
e5446718,1.0,1.0,0.0
e5607200,1.0,1.0,1.0
e5221418,1.0,0.0,0.0
e5395732,0.0,1.0,1.0
e5535054,1.0,0.0,0.0
e5587166,1.0,1.0,1.0
e5536890,1.0,0.0,0.0
e5589632,0.0,1.0,0.0
e5601794,1.0,1.0,1.0
e5228836,0.0,0.0,1.0
e5591608,1.0,1.0,0.0
e5223862,0.0,0.0,1.0
e5400536,1.0,0.0,1.0
e5600988,1.0,1.0,1.0
e4826960,1.0,1.0,0.0
e5103122,1.0,0.0,0.0
e5543734,0.0,1.0,0.0
e5599800,1.0,0.0,1.0
e5200560,0.0,1.0,0.0
e5602588,1.0,1.0,1.0
e5462924,0.0,0.0,1.0
e4987864,0.0,1.0,0.0
e5604258,1.0,1.0,1.0
e5206048,0.0,1.0,0.0
e5592114,1.0,0.0,1.0
e5601216,1.0,1.0,1.0
e5583334,1.0,1.0,1.0
e5478714,1.0,0.0,1.0
e5591848,1.0,1.0,1.0
e5542886,0.0,1.0,0.0
e5545758,1.0,0.0,1.0
e5478264,0.0,1.0,0.0
e5365868,0.0,0.0,1.0
