,0,1,2,3
e7080626,1.0,1.0,1.0,1.0
e6533894,1.0,0.0,0.0,0.0
e6903774,0.0,0.0,1.0,1.0
e6986672,0.0,0.0,0.0,1.0
e7135510,1.0,1.0,1.0,1.0
e6994200,0.0,0.0,0.0,1.0
e6812726,1.0,0.0,0.0,1.0
e6926122,0.0,1.0,1.0,0.0
e7130530,0.0,1.0,1.0,1.0
e6977436,0.0,1.0,1.0,0.0
e6274556,0.0,0.0,0.0,1.0
e7004222,0.0,0.0,0.0,1.0
e6425992,1.0,1.0,0.0,0.0
e6473230,1.0,0.0,0.0,0.0
e6626004,1.0,0.0,0.0,0.0
e1932788,0.0,0.0,0.0,0.0
e7014064,0.0,0.0,0.0,1.0
e6131982,1.0,1.0,1.0,1.0
e7000014,0.0,0.0,0.0,1.0
e7109422,1.0,0.0,0.0,0.0
e6024088,0.0,1.0,0.0,1.0
e6545624,0.0,1.0,0.0,0.0
e6625574,0.0,0.0,0.0,1.0
e6551498,1.0,0.0,0.0,0.0
e6760724,0.0,1.0,1.0,1.0
e6905266,1.0,0.0,0.0,0.0
e7110626,1.0,1.0,1.0,1.0
e7025088,1.0,1.0,1.0,0.0
e7077650,0.0,1.0,1.0,0.0
e7124872,0.0,1.0,1.0,0.0
e6442946,1.0,1.0,0.0,1.0
e46800,1.0,1.0,0.0,0.0
e46806,0.0,1.0,0.0,0.0
e7114350,0.0,1.0,0.0,0.0
e7045532,1.0,0.0,0.0,1.0
e7062892,1.0,0.0,0.0,1.0
e6104782,0.0,1.0,0.0,0.0
e6237406,0.0,0.0,0.0,1.0
e7135420,1.0,1.0,1.0,1.0
e106000,0.0,1.0,1.0,0.0
e7053330,1.0,0.0,0.0,1.0
e6600674,1.0,0.0,0.0,0.0
e6641764,0.0,0.0,1.0,1.0
e7133270,0.0,1.0,1.0,1.0
e7134152,1.0,1.0,1.0,0.0
e7100776,0.0,1.0,1.0,1.0
e7136780,1.0,1.0,1.0,1.0
e7019348,1.0,1.0,1.0,0.0
e7133304,1.0,1.0,1.0,0.0
e32710,1.0,0.0,1.0,0.0
e6439522,1.0,0.0,0.0,0.0
e7119704,0.0,1.0,1.0,0.0
e7135164,1.0,1.0,1.0,1.0
e7101896,1.0,1.0,0.0,1.0
e7067870,1.0,0.0,0.0,0.0
e7135394,1.0,1.0,1.0,1.0
e6615866,1.0,1.0,1.0,1.0
e7134494,1.0,1.0,1.0,1.0
e7123866,1.0,1.0,1.0,0.0
e7128558,1.0,1.0,1.0,1.0
e6992302,0.0,1.0,1.0,0.0
e7074656,1.0,0.0,0.0,1.0
e7135360,1.0,1.0,1.0,1.0
