name,strains_print,color
5631056+,s5,Lime
5631070+,s8,#b0b0b0
5631090+,s5,Lime
5631198+,s8,#b0b0b0
5631268+,s5,Teal
5631286+,s5,Lime
5631338+,s5,Teal
5631384+,s5,Lime
5631410+,s5,Teal
5631476+,s5,Teal
5631554+,s4,#b0b0b0
5631590+,s5,Lime
5631632+,s4,#b0b0b0
5631824+,s5,Lime
5631854+,s8,#b0b0b0
5631910+,s8,#b0b0b0
5631938+,s8,#b0b0b0
5632024+,"s4, s8",#b0b0b0
5632090+,s5,Lime
5632182+,s5,Lime
5632192+,s4,#b0b0b0
5632228+,s5,Lime
5632242+,s5,Lime
5632306+,s4,#b0b0b0
5632336+,s5,Teal
5632346+,"s4, s5, s8",Teal
5632378+,"s4, s8",#b0b0b0
5632384+,"s4, s5",Lime
5632394+,"s4, s8",#b0b0b0
5632526+,s5,Lime
5632602+,s5,Lime
5632696+,s8,#b0b0b0
5632698+,s5,Lime
5632914+,s4,#b0b0b0
5632934+,s5,Teal
5632940+,s4,#b0b0b0
5632948+,s4,#b0b0b0
5633022+,s5,Lime
5633028+,s4,#b0b0b0
5633092+,s5,Teal
5633136+,s5,Lime
5633140+,s4,#b0b0b0
5633148+,s4(5),#b0b0b0
5633186+,s4,#b0b0b0
5633220+,s5,Lime
5633236+,s4,#b0b0b0
5633286+,s8,#b0b0b0
5633328+,s5,Lime
5633488+,s8,#b0b0b0
5633592+,s8,#b0b0b0
5633604+,s4,#b0b0b0
5633668+,s5,Lime
5633704+,s5,Teal
5633708+,s4,#b0b0b0
5633736+,s5,Lime
5633752+,s8,#b0b0b0
5633886+,s8,#b0b0b0
5634142+,s5,Lime
5634180+,s5,Lime
5634236+,s4,#b0b0b0
5634248+,s5,Teal
5634290+,s5,Lime
5634296+,s5,Lime
5634316+,s5,Lime
56343905208482+,s5,Teal
5634486+,s8,#b0b0b0
5634538+,s8,#b0b0b0
5634560+,s5,Lime
5634680+,s8,#b0b0b0
5634802+,s8,#b0b0b0
5634838+,"s4, s8",#b0b0b0
5634854+,s5,Lime
5634890+,s5,Lime
5634950+,s4,#b0b0b0
5634958+,s5,Lime
5634986+,s4,#b0b0b0
5635006+,s4,#b0b0b0
5635220+,s5,Lime
5635272+,s5(2),Navy
5635298+,s5,Lime
5635320+,s8,#b0b0b0
5635386+,s8,#b0b0b0
5635432+,s8,#b0b0b0
5635490+,"s5, s8",Teal
5635594+,"s4, s8",#b0b0b0
5635606+,s4,#b0b0b0
5635642+,s5,Lime
56356501406636+,s5,Teal
5635668+,s5,Lime
5635670+,s4,#b0b0b0
5635740+,s8,#b0b0b0
5635822+,s4,#b0b0b0
5636016+,s8,Yellow
5636032+,s8,#b0b0b0
5636044+,s5,Lime
5636050+,s5,Lime
5636056+,s8,#b0b0b0
5636094+,s5,Lime
5636134+,s5,Lime
5636210+,s5,Teal
5636444+,s5,Lime
5636718+,s8,#b0b0b0
5636780+,s5,Lime
5636830+,s4,#b0b0b0
5636878+,s5(3),Navy
5636924+,s5,Lime
5636986+,s5,Teal
5637012+,"s4, s8",#b0b0b0
5637016+,s5,Lime
5637028+,s4,#b0b0b0
5637048+,s4,#b0b0b0
5637056+,s8,#b0b0b0
5637102+,s5,Lime
5637114+,s5,Lime
5637158+,s5,Lime
5637278+,s5,Lime
5637306+,s5,Lime
5637336+,s8,#b0b0b0
5637490+,s4,#b0b0b0
5637514+,s4,#b0b0b0
5637530+,s5,Lime
5637556+,s4,#b0b0b0
5637600+,"s4(2), s8(2)",#b0b0b0
56376065892754+,"s4, s8",#b0b0b0
5637634+,s5,Lime
5637726+,s4,#b0b0b0
5637846+,s5,Lime
