,0,1,2
e5881178,0.0,1.0,0.0
e5936606,1.0,1.0,0.0
e5635642,1.0,0.0,0.0
e5732194,0.0,1.0,0.0
e5555442,0.0,1.0,1.0
e5939332,1.0,0.0,1.0
e5530620,0.0,0.0,0.0
e344974,1.0,0.0,0.0
e344976,1.0,0.0,0.0
e5934058,0.0,1.0,0.0
e5116868,0.0,0.0,0.0
e5077958,0.0,1.0,1.0
e5795264,0.0,1.0,1.0
e5878194,1.0,0.0,0.0
e5893634,0.0,1.0,1.0
e5933452,1.0,0.0,0.0
e5914682,1.0,0.0,1.0
e5940038,1.0,1.0,1.0
e5924842,1.0,0.0,1.0
e378288,0.0,0.0,0.0
e5718284,0.0,1.0,0.0
